"node","CCACE","pvalue","Weak_IV_test","Pi_obs","ITT","Pi_compliers","Adj_pvalue"
NA,"27826.3691","0","0","1","24751.0102","0.8895",NA
"x2< 1.477e+05","26469.5564","0","0","0.9966","23539.8063","0.8893",NA
"x2>=1.477e+05","250409.2963","0.4136","0","0.0034","234758.7153","0.9375",1
"x2< 1.477e+05 & x2>=1.104e+05","43358.0529","0.3016","0","0.0117","39416.4117","0.9091",NA
"x2< 1.477e+05 & x2< 1.104e+05","25327.2754","0","0","0.9849","22518.0014","0.8891",NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
"x2< 1.477e+05 & x2>=1.104e+05 & x2>=1.35e+05","144376.0667","0.2285","0","0.0028","144376.0667","1",0.914
"x2< 1.477e+05 & x2>=1.104e+05 & x2< 1.35e+05","7642.5625","0.8703","0","0.0089","6732.7336","0.881",NA
"x2< 1.477e+05 & x2< 1.104e+05 & x2>=9.269e+04","53422.268","0.0022","0","0.0256","50751.1546","0.95",0.0132
"x2< 1.477e+05 & x2< 1.104e+05 & x2< 9.269e+04","22670.372","0","0","0.9593","20119.0116","0.8875",NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
"x2< 1.477e+05 & x2>=1.104e+05 & x2< 1.35e+05 & x8>=0.5","-6782.8673","0.9028","0","0.0066","-6126.4608","0.9032",1
"x2< 1.477e+05 & x2>=1.104e+05 & x2< 1.35e+05 & x8< 0.5","-29365.7143","0.4325","0.0403","0.0023","-24026.4935","0.8182",1
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
"x2< 1.477e+05 & x2< 1.104e+05 & x2< 9.269e+04 & x2< 6.881e+04","17817.9773","0","0","0.891","15837.7289","0.8889",0
"x2< 1.477e+05 & x2< 1.104e+05 & x2< 9.269e+04 & x2>=6.881e+04","25270.9829","0.1389","0","0.0684","21964.4991","0.8692",0.6945
