"node","CCACE","pvalue","Weak_IV_test","Pi_obs","ITT","Pi_compliers","Adj_pvalue"
NA,"1.7107","0.0118","0","1","0.5026","0.2938",NA
"x2< 37.5","0.9771","0.3496","0","0.3688","0.2664","0.2727",NA
"x2>=37.5","2.1738","0.0122","0","0.6312","0.6663","0.3065",NA
"x2< 37.5 & x11< 0.5","-6.0172","0.1369","0","0.0363","-1.1573","0.1923",0.6845
"x2< 37.5 & x11>=0.5","1.4145","0.192","0","0.3325","0.3983","0.2816",NA
"x2>=37.5 & x11< 0.5","0.4405","0.9065","0","0.046","0.0891","0.2023",1
"x2>=37.5 & x11>=0.5","2.1356","0.0155","0","0.5852","0.6735","0.3154",NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
"x2< 37.5 & x11>=0.5 & x2< 25.5","3.6296","0.084","0","0.1062","0.8976","0.2473",0.504
"x2< 37.5 & x11>=0.5 & x2>=25.5","0.5204","0.6805","0","0.2263","0.1551","0.298",NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
"x2>=37.5 & x11>=0.5 & x2>=59.5","0.7493","0.8124","0","0.068","0.1869","0.2494",1
"x2>=37.5 & x11>=0.5 & x2< 59.5","2.2634","0.0135","0","0.5172","0.7339","0.3242",0.0945
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
"x2< 37.5 & x11>=0.5 & x2>=25.5 & x3>=0.6668","-1.4031","0.4773","0","0.0851","-0.3942","0.281",1
"x2< 37.5 & x11>=0.5 & x2>=25.5 & x3< 0.6668","1.5633","0.3346","0","0.1412","0.4822","0.3085",1
